"concept_name","source_concept_id","source_vocabulary_id","source_domain_id","source_concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason","target_concept_id","relationship_id","reverese_relationship_id","relationship_valid_start_date","relationship_end_date","invalid_reason_cr"
"/hpf",2000029001,"mimiciv_meas_unit","Unit","Unit",,"/hpf","1970-01-01","2099-12-31",,8786,"Maps to","Mapped from","1970-01-01","2099-12-31",
"/min",2000029002,"mimiciv_meas_unit","Unit","Unit",,"/min","1970-01-01","2099-12-31",,8541,"Maps to","Mapped from","1970-01-01","2099-12-31",
"#/hpf",2000029003,"mimiciv_meas_unit","Unit","Unit",,"#/hpf","1970-01-01","2099-12-31",,8889,"Maps to","Mapped from","1970-01-01","2099-12-31",
"#/lpf",2000029004,"mimiciv_meas_unit","Unit","Unit",,"#/lpf","1970-01-01","2099-12-31",,8765,"Maps to","Mapped from","1970-01-01","2099-12-31",
"#/uL",2000029005,"mimiciv_meas_unit","Unit","Unit",,"#/uL","1970-01-01","2099-12-31",,8784,"Maps to","Mapped from","1970-01-01","2099-12-31",
"°C",2000029006,"mimiciv_meas_unit","Unit","Unit",,"°C","1970-01-01","2099-12-31",,586323,"Maps to","Mapped from","1970-01-01","2099-12-31",
"°F",2000029007,"mimiciv_meas_unit","Unit","Unit",,"°F","1970-01-01","2099-12-31",,9289,"Maps to","Mapped from","1970-01-01","2099-12-31",
"+/-",2000029008,"mimiciv_meas_unit","Unit","Unit",,"+/-","1970-01-01","2099-12-31",,8510,"Maps to","Mapped from","1970-01-01","2099-12-31",
"bpm",2000029009,"mimiciv_meas_unit","Unit","Unit",,"bpm","1970-01-01","2099-12-31",,8483,"Maps to","Mapped from","1970-01-01","2099-12-31",
"cm",2000029010,"mimiciv_meas_unit","Unit","Unit",,"cm","1970-01-01","2099-12-31",,8582,"Maps to","Mapped from","1970-01-01","2099-12-31",
"cmH2O",2000029011,"mimiciv_meas_unit","Unit","Unit",,"cmH2O","1970-01-01","2099-12-31",,44777590,"Maps to","Mapped from","1970-01-01","2099-12-31",
"day",2000029012,"mimiciv_meas_unit","Unit","Unit",,"day","1970-01-01","2099-12-31",,8512,"Maps to","Mapped from","1970-01-01","2099-12-31",
"EU/dL",2000029013,"mimiciv_meas_unit","Unit","Unit",,"EU/dL","1970-01-01","2099-12-31",,8829,"Maps to","Mapped from","1970-01-01","2099-12-31",
"g/dl",2000029014,"mimiciv_meas_unit","Unit","Unit",,"g/dl","1970-01-01","2099-12-31",,8713,"Maps to","Mapped from","1970-01-01","2099-12-31",
"GPL",2000029015,"mimiciv_meas_unit","Unit","Unit",,"GPL","1970-01-01","2099-12-31",,9100,"Maps to","Mapped from","1970-01-01","2099-12-31",
"hour",2000029016,"mimiciv_meas_unit","Unit","Unit",,"hour","1970-01-01","2099-12-31",,8505,"Maps to","Mapped from","1970-01-01","2099-12-31",
"hrs",2000029017,"mimiciv_meas_unit","Unit","Unit",,"hrs","1970-01-01","2099-12-31",,8505,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Inch",2000029018,"mimiciv_meas_unit","Unit","Unit",,"Inch","1970-01-01","2099-12-31",,9327,"Maps to","Mapped from","1970-01-01","2099-12-31",
"insp/min",2000029019,"mimiciv_meas_unit","Unit","Unit",,"insp/min","1970-01-01","2099-12-31",,8541,"Maps to","Mapped from","1970-01-01","2099-12-31",
"IU/L",2000029020,"mimiciv_meas_unit","Unit","Unit",,"IU/L","1970-01-01","2099-12-31",,8923,"Maps to","Mapped from","1970-01-01","2099-12-31",
"IU/mL",2000029021,"mimiciv_meas_unit","Unit","Unit",,"IU/mL","1970-01-01","2099-12-31",,8985,"Maps to","Mapped from","1970-01-01","2099-12-31",
"K/uL",2000029022,"mimiciv_meas_unit","Unit","Unit",,"K/uL","1970-01-01","2099-12-31",,8848,"Maps to","Mapped from","1970-01-01","2099-12-31",
"kg",2000029023,"mimiciv_meas_unit","Unit","Unit",,"kg","1970-01-01","2099-12-31",,9529,"Maps to","Mapped from","1970-01-01","2099-12-31",
"L/min/m2",2000029024,"mimiciv_meas_unit","Unit","Unit",,"L/min/m2","1970-01-01","2099-12-31",,32710,"Maps to","Mapped from","1970-01-01","2099-12-31",
"log international unit per milliliter",2000029025,"mimiciv_meas_unit","Unit","Unit",,"log10 IU/mL","1970-01-01","2099-12-31",,9084,"Maps to","Mapped from","1970-01-01","2099-12-31",
"m/uL",2000029026,"mimiciv_meas_unit","Unit","Unit",,"m/uL","1970-01-01","2099-12-31",,8815,"Maps to","Mapped from","1970-01-01","2099-12-31",
"mEq/L",2000029027,"mimiciv_meas_unit","Unit","Unit",,"mEq/L","1970-01-01","2099-12-31",,9557,"Maps to","Mapped from","1970-01-01","2099-12-31",
"mg/24hr",2000029028,"mimiciv_meas_unit","Unit","Unit",,"mg/24hr","1970-01-01","2099-12-31",,8909,"Maps to","Mapped from","1970-01-01","2099-12-31",
"mIU/mL",2000029029,"mimiciv_meas_unit","Unit","Unit",,"mIU/mL","1970-01-01","2099-12-31",,9550,"Maps to","Mapped from","1970-01-01","2099-12-31",
"mL/beat",2000029030,"mimiciv_meas_unit","Unit","Unit",,"mL/beat","1970-01-01","2099-12-31",,9569,"Maps to","Mapped from","1970-01-01","2099-12-31",
"ml/hr",2000029031,"mimiciv_meas_unit","Unit","Unit",,"ml/hr","1970-01-01","2099-12-31",,44777613,"Maps to","Mapped from","1970-01-01","2099-12-31",
"mL/m2",2000029032,"mimiciv_meas_unit","Unit","Unit",,"mL/m2","1970-01-01","2099-12-31",,32739,"Maps to","Mapped from","1970-01-01","2099-12-31",
"ml/min",2000029033,"mimiciv_meas_unit","Unit","Unit",,"ml/min","1970-01-01","2099-12-31",,8795,"Maps to","Mapped from","1970-01-01","2099-12-31",
"mm Hg",2000029034,"mimiciv_meas_unit","Unit","Unit",,"mm Hg","1970-01-01","2099-12-31",,8876,"Maps to","Mapped from","1970-01-01","2099-12-31",
"mm/hr",2000029035,"mimiciv_meas_unit","Unit","Unit",,"mm/hr","1970-01-01","2099-12-31",,8752,"Maps to","Mapped from","1970-01-01","2099-12-31",
"mmHg",2000029036,"mimiciv_meas_unit","Unit","Unit",,"mmHg","1970-01-01","2099-12-31",,8876,"Maps to","Mapped from","1970-01-01","2099-12-31",
"mmHg.",2000029037,"mimiciv_meas_unit","Unit","Unit",,"mmHg.","1970-01-01","2099-12-31",,8876,"Maps to","Mapped from","1970-01-01","2099-12-31",
"mOsm/kg",2000029038,"mimiciv_meas_unit","Unit","Unit",,"mOsm/kg","1970-01-01","2099-12-31",,8862,"Maps to","Mapped from","1970-01-01","2099-12-31",
"MPL",2000029039,"mimiciv_meas_unit","Unit","Unit",,"MPL","1970-01-01","2099-12-31",,9101,"Maps to","Mapped from","1970-01-01","2099-12-31",
"None",2000029040,"mimiciv_meas_unit","Unit","Unit",,"None","1970-01-01","2099-12-31",,4124462,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Pos/Neg",2000029041,"mimiciv_meas_unit","Unit","Unit",,"Pos/Neg","1970-01-01","2099-12-31",,8510,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Ratio",2000029042,"mimiciv_meas_unit","Unit","Unit",,"Ratio","1970-01-01","2099-12-31",,8523,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Score",2000029043,"mimiciv_meas_unit","Unit","Unit",,"Score","1970-01-01","2099-12-31",,44777566,"Maps to","Mapped from","1970-01-01","2099-12-31",
"sec",2000029044,"mimiciv_meas_unit","Unit","Unit",,"sec","1970-01-01","2099-12-31",,8555,"Maps to","Mapped from","1970-01-01","2099-12-31",
"U",2000029045,"mimiciv_meas_unit","Unit","Unit",,"U","1970-01-01","2099-12-31",,8510,"Maps to","Mapped from","1970-01-01","2099-12-31",
"U/g/Hb",2000029046,"mimiciv_meas_unit","Unit","Unit",,"U/g/Hb","1970-01-01","2099-12-31",,9651,"Maps to","Mapped from","1970-01-01","2099-12-31",
"U/L",2000029047,"mimiciv_meas_unit","Unit","Unit",,"U/L","1970-01-01","2099-12-31",,8645,"Maps to","Mapped from","1970-01-01","2099-12-31",
"U/mL",2000029048,"mimiciv_meas_unit","Unit","Unit",,"U/mL","1970-01-01","2099-12-31",,8763,"Maps to","Mapped from","1970-01-01","2099-12-31",
"uIU/mL",2000029049,"mimiciv_meas_unit","Unit","Unit",,"uIU/mL","1970-01-01","2099-12-31",,9093,"Maps to","Mapped from","1970-01-01","2099-12-31",
"units",2000029050,"mimiciv_meas_unit","Unit","Unit",,"units","1970-01-01","2099-12-31",,8510,"Maps to","Mapped from","1970-01-01","2099-12-31",
"uU/ML",2000029051,"mimiciv_meas_unit","Unit","Unit",,"uU/ML","1970-01-01","2099-12-31",,8860,"Maps to","Mapped from","1970-01-01","2099-12-31",
